広告ID,広告名,広告セット名,キャンペーン名,訴求名,登録経路,インプレッション,クリック,消費額,CV数,フロント販売本数,CPM,CTR(%),CVR(%),CPA,フロントCPO
1.84987E+15,AI_Editor_1763716618420,広告セット 20251108104919,251121 AI スマ AIまとめ(ガチャ_ピクセル1)  LP1-CR00661,AI,,2185,7,1865,0,0,853.55,0.3204,0,0,0
1.85005E+15,Meta41_(冒頭⑤_権威製2_オファーあり_社会証明あり_CTA別あり)_H20aYDrg.mp4,広告セット 20251108104919,251128 AI スマ AIまとめ(二極化 1年後悔)  LP2-CR00138,AI,,1106,5,1790,0,0,1618.44,0.4521,0,0,0
1.8499E+15,マーケ足りてない_冒頭11-スキルあるのにマーケ力ない_SNS_XoDH1SvA.mp4,広告セット 20250902064213,251115/セン/SNSまとめ(ガチャ)/LP2-CR00036,SNS,,2218,6,1788,0,0,806.13,0.2705,0,0,0
1.8499E+15,AddNeSS_ちがーう！！_冒頭②×Aパターン_x4TwSAoq.mp4,広告セット 20250902064213,251024/セン/SNSまとめ(勝)/LP2-CR00033,SNS,,1997,10,1685,0,0,843.77,0.5008,0,0,0
1.8499E+15,タイムショック_テストなし_SNS_0n8a29mT.mp4,広告セット 20250902064213,251115/セン/SNSまとめ(ガチャ)/LP2-CR00036,SNS,,1513,6,1656,0,0,1094.51,0.3966,0,0,0
1.84987E+15,【11月特典】林社長 二極化 副業会社員,広告セット ,【複製_1211】251107 AI スマ AIまとめ(箕輪＆3兆円)  LP2-CR00048 141,AI,,461,1,1525,0,0,3308.03,0.2169,0,0,0
1.84987E+15,セミナー開催決定 ver2_冒頭1_TT_c6r0sSPh.mp4,広告セット 20250911021302,1個の1個の【複製_1110】251019/セミ/スマ/セミまとめ(開催決定まとめ)/LP1-CR00013をコピーをコピーをコピーをコピーをコピー,Unknown,,1810,13,1464,0,0,808.84,0.7182,0,0,0
1.84987E+15,＃納品_箕輪さん冒頭⑤_TT_75mlDnb6.mp4,広告セット 20250911021302,1個の1個の【複製_1110】251019/セミ/スマ/セミまとめ(開催決定まとめ)/LP1-CR00013をコピーをコピーをコピーをコピーをコピー,Unknown,,1084,6,1416,0,0,1306.27,0.5535,0,0,0
1.84987E+15,セミナー編 TT BGM_yndTteUC.mp4-Music_Refresh-0-3_1762910132,広告セット 20250911021302,1個の1個の【複製_1110】251019/セミ/スマ/セミまとめ(開催決定まとめ)/LP1-CR00013をコピーをコピーをコピーをコピーをコピー,Unknown,,1091,9,1308,0,0,1198.9,0.8249,0,0,0
1.84987E+15,【11月特典】林社長 二極化 副業会社員,広告セット ,1個の251031 AI スマ AIまとめ(11月オファー強化_林社長関連)  LP2-CR00032をコピー,AI,,534,4,1276,0,0,2389.51,0.7491,0,0,0
1.84987E+15,【11月特典】二極化フリーランス,広告セット ,11/16 AI スマ AIまとめ(ガチャ)  LP2-CR00071,AI,,1182,2,1268,0,0,1072.76,0.1692,0,0,0
1.84987E+15,箕輪 さん切り抜きTiktTok③【AI訴求】これ間違いです_jSIxB7cq.mp4,広告セット ,11/16 AI スマ AIまとめ(ガチャ)  LP2-CR00071,AI,,1096,1,1265,0,0,1154.2,0.0912,0,0,0
