日付,広告セットID,広告セット名,キャンペーン名,インプレッション,クリック,コンバージョン,CTR(%),CVR(%),消費額,CPA
2025-12-02,"1849237315698785","2個の1118_広告セット 20251113110929をコピー","251120/セミ/スマ/新ダイジェスト/LP2-CR00103-108",0,0,0,0,0,0.00,0
2025-12-01,"1847567503148210","広告セットCR00034","251101/AI/タゲ/AIで売上3兆円を目指す/LP2-CR00033/34",0,0,0,0,0,0.00,0
2025-12-02,"1847567503148210","広告セットCR00034","251101/AI/タゲ/AIで売上3兆円を目指す/LP2-CR00033/34",0,0,0,0,0,0.00,0
2025-12-01,"1849389819828242","広告セット 20250829010409","251121/セン/SNSまとめ/LP1-CR00583",0,0,0,0,0,0.00,0
2025-12-01,"1848545817121873","251109 ノンタゲ","1個の1個の1個の251109/AI/マジで意味ないです/LP1-CR00643～CR00645をコピーをコピーをコピー",0,0,0,0,0,0.00,0
2025-12-02,"1848545817121873","251109 ノンタゲ","1個の1個の1個の251109/AI/マジで意味ないです/LP1-CR00643～CR00645をコピーをコピーをコピー",0,0,0,0,0,0.00,0
2025-12-01,"1849925125792801","251128　ノンタゲ","251128/AI/箕輪さん→3兆円企業/LP1-CR00671",2548,10,0,0.3925,0.0000,5000.00,0
2025-12-02,"1849925125792801","251128　ノンタゲ","251128/AI/箕輪さん→3兆円企業/LP1-CR00671",2261,8,0,0.3538,0.0000,5008.00,0
2025-12-01,"1849823660122258","広告セット ","【1126_複製】010/03 AI スマ AIまとめ(1004休日強化)  LP2-CR00022",165296,599,0,0.3624,0.0000,181970.00,0
2025-12-02,"1849823660122258","広告セット ","【1126_複製】010/03 AI スマ AIまとめ(1004休日強化)  LP2-CR00022",254123,996,0,0.3919,0.0000,223237.00,0
2025-12-01,"1848394157347906","広告セット 20251108104919","1個の251108 AI スマ AIまとめ(箕輪＆3兆円_ピクセル1)  LP1-CR00647をコピー",110354,439,0,0.3978,0.0000,84791.00,0
2025-12-02,"1848394157347906","広告セット 20251108104919","1個の251108 AI スマ AIまとめ(箕輪＆3兆円_ピクセル1)  LP1-CR00647をコピー",114772,360,0,0.3137,0.0000,110324.00,0
2025-12-01,"1849830682948721","冒頭②","251126/AI/AI学ぶな (林社長)/LP2-CR00110-111",0,0,0,0,0,0.00,0
2025-12-02,"1847567390419986","広告セットCR00033","251101/AI/タゲ/AIで売上3兆円を目指す/LP2-CR00033/34",0,0,0,0,0,0.00,0
2025-12-01,"1849818066672657","広告セット 20250829010409","【1126_複製】251121/セン/SNSまとめ/LP1-CR00583",0,0,0,0,0,0.00,0
2025-12-02,"1849818066672657","広告セット 20250829010409","【1126_複製】251121/セン/SNSまとめ/LP1-CR00583",0,0,0,0,0,0.00,0
