広告ID,広告名,アカウント名,LP-CR,登録経路,出稿日,初動終了日,初動3日間費用,初動3日間CV数,初動3日間CPA
1851224743775393,"251211/清水絢吾/林社長/冒頭③_コピー4/LP2-CR00157",AI_3,LP2-CR00157,"TikTok広告-AI-LP2-CR00157",2025-12-10,2025-12-12,63.00,0,N/A
1851224743775409,"251211/清水絢吾/林社長/冒頭③_コピー3/LP2-CR00156",AI_3,LP2-CR00156,"TikTok広告-AI-LP2-CR00156",2025-12-10,2025-12-12,157.00,0,N/A
1851224743776337,"251211/清水絢吾/林社長/冒頭③_コピー1/LP2-CR00154",AI_3,LP2-CR00154,"TikTok広告-AI-LP2-CR00154",2025-12-10,2025-12-12,1825.00,0,N/A
1851223005371474,"251211/清水絢吾/林社長/冒頭③_コピー8/LP2-CR00161",AI_3,LP2-CR00161,"TikTok広告-AI-LP2-CR00161",2025-12-10,2025-12-12,146.00,0,N/A
1851224743774321,"251211/清水絢吾/林社長/冒頭③_コピー7/LP2-CR00160",AI_3,LP2-CR00160,"TikTok広告-AI-LP2-CR00160",2025-12-10,2025-12-12,79.00,0,N/A
1851224743775361,"251211/清水絢吾/林社長/冒頭③_コピー6/LP2-CR00159",AI_3,LP2-CR00159,"TikTok広告-AI-LP2-CR00159",2025-12-10,2025-12-12,315.00,1,315.00
1851140682072210,"251211/清水絢吾/スマプラ/箕輪＆3兆円/LP2-CR00141",AI_3,LP2-CR00141,"TikTok広告-AI-LP2-CR00141",2025-12-10,2025-12-12,111850.00,67,1669.40
1851739065364609,"251211/清水絢吾/スマプラ/箕輪＆3兆円/LP2-CR00141",AI_3,LP2-CR00141,"TikTok広告-AI-LP2-CR00141",2025-12-10,2025-12-12,0.00,67,N/A
1851261113553250,"251212/清水絢吾/問題ないです_シーン訴求_冒頭2/LP1-CR00700",AI_1,LP1-CR00700,"TikTok広告-AI-LP1-CR00700",2025-12-11,2025-12-13,10000.00,0,N/A
1851260736298129,"251212/清水絢吾/問題ないです_シーン訴求_冒頭1/LP1-CR00699",AI_1,LP1-CR00699,"TikTok広告-AI-LP1-CR00699",2025-12-11,2025-12-13,10000.00,6,1666.67
1851261226228914,"251212/清水絢吾/問題ないです_シーン訴求_冒頭2/LP1-CR00701",AI_1,LP1-CR00701,"TikTok広告-AI-LP1-CR00701",2025-12-11,2025-12-13,10000.00,6,1666.67
1851367158331489,"251213/清水絢吾/二極化_強化_冒頭1/LP1-CR00702",AI_1,LP1-CR00702,"TikTok広告-AI-LP1-CR00702",2025-12-12,2025-12-14,9092.00,7,1298.86
1851367158337745,"251213/清水絢吾/二極化_強化_冒頭4/LP1-CR00705",AI_1,LP1-CR00705,"TikTok広告-AI-LP1-CR00705",2025-12-12,2025-12-14,10037.00,5,2007.40
1851367158339921,"251213/清水絢吾/二極化_強化_冒頭6/LP1-CR00707",AI_1,LP1-CR00707,"TikTok広告-AI-LP1-CR00707",2025-12-12,2025-12-14,10086.00,3,3362.00
1851367158337777,"251213/清水絢吾/二極化_強化_冒頭5/LP1-CR00706",AI_1,LP1-CR00706,"TikTok広告-AI-LP1-CR00706",2025-12-12,2025-12-14,10018.00,5,2003.60
1851367158336753,"251213/清水絢吾/二極化_強化_冒頭3/LP1-CR00704",AI_1,LP1-CR00704,"TikTok広告-AI-LP1-CR00704",2025-12-12,2025-12-14,10985.00,5,2197.00
1851367158336721,"251213/清水絢吾/二極化_強化_冒頭2/LP1-CR00703",AI_1,LP1-CR00703,"TikTok広告-AI-LP1-CR00703",2025-12-12,2025-12-14,10110.00,6,1685.00
1851387022041106,"251213/清水絢吾/1年後悔/奇行_CTA/LP1-CR00717",AI_2,LP1-CR00717,"TikTok広告-AI-LP1-CR00717",2025-12-12,2025-12-14,6385.00,5,1277.00
1851386580195633,"251213/清水絢吾/1年後悔/通常_CTA/LP1-CR00716",AI_2,LP1-CR00716,"TikTok広告-AI-LP1-CR00716",2025-12-12,2025-12-14,6650.00,0,N/A
1851383335630914,"251213/清水絢吾/ホリエモン_AI学ぶな/冒頭3/LP1-CR00712",AI_2,LP1-CR00712,"TikTok広告-AI-LP1-CR00712",2025-12-12,2025-12-14,10406.00,8,1300.75
1851383335629858,"251213/清水絢吾/ホリエモン_AI学ぶな/冒頭2/LP1-CR00711",AI_2,LP1-CR00711,"TikTok広告-AI-LP1-CR00711",2025-12-12,2025-12-14,3471.00,1,3471.00
1851382336981026,"251213/清水絢吾/箕輪さん_間違いです/冒頭5/LP1-CR00715",AI_2,LP1-CR00715,"TikTok広告-AI-LP1-CR00715",2025-12-12,2025-12-14,7702.00,1,7702.00
1851382336980994,"251213/清水絢吾/箕輪さん_間違いです/冒頭3/LP1-CR00714",AI_2,LP1-CR00714,"TikTok広告-AI-LP1-CR00714",2025-12-12,2025-12-14,5895.00,0,N/A
1851379953534065,"251213/清水絢吾/林社長_AI学ぶな/冒頭2/LP1-CR00709",AI_2,LP1-CR00709,"TikTok広告-AI-LP1-CR00709",2025-12-12,2025-12-14,8637.00,3,2879.00
1851379953534033,"251213/清水絢吾/箕輪さん_間違いです/冒頭2/LP1-CR00713",AI_2,LP1-CR00713,"TikTok広告-AI-LP1-CR00713",2025-12-12,2025-12-14,8685.00,1,8685.00
1851374207701186,"251213/清水絢吾/林社長_AI学ぶな/冒頭1/LP1-CR00708",AI_2,LP1-CR00708,"TikTok広告-AI-LP1-CR00708",2025-12-12,2025-12-14,7427.00,1,7427.00
1851383232379138,"251213/清水絢吾/ホリエモン_AI学ぶな/冒頭1/LP1-CR00710",AI_2,LP1-CR00710,"TikTok広告-AI-LP1-CR00710",2025-12-12,2025-12-14,8277.00,1,8277.00
1851391548937441,"251213/清水絢吾/林社長_AI学ぶな/冒頭1/LP2-CR00162",AI_3,LP2-CR00162,"TikTok広告-AI-LP2-CR00162",2025-12-12,2025-12-14,5027.00,3,1675.67
1851392006165681,"251213/清水絢吾/林社長_AI学ぶな/冒頭2/LP2-CR00163",AI_3,LP2-CR00163,"TikTok広告-AI-LP2-CR00163",2025-12-12,2025-12-14,5390.00,1,5390.00
1851456056773953,"251214/清水絢吾/AI学ぶな/学校/LP2-CR00168",AI_3,LP2-CR00168,"TikTok広告-AI-LP2-CR00168",2025-12-13,2025-12-15,9110.00,5,1822.00
1851455839484161,"251214/清水絢吾/AI学ぶな/通常/LP2-CR00167",AI_3,LP2-CR00167,"TikTok広告-AI-LP2-CR00167",2025-12-13,2025-12-15,5461.00,1,5461.00
1851649899628722,"251216/清水絢吾/スマプラ/著名人コピー違い/LP1-CR00718",AI_2,LP1-CR00718,"TikTok広告-AI-LP1-CR00718",2025-12-15,2025-12-17,113292.00,63,1798.29
