広告ID,広告名,CR名,LP名,登録経路,配信開始日,初動終了日,初動3日間費用,初動3日間CV数,初動3日間CPA
1.85344E+15,260104/清水絢吾/おい会社員(セミナー)/演出あり/冒頭3/LP2-CR00193,CR00193,LP2,TikTok広告-スキルプラス-LP2-CR00193,2026/1/5,2026/1/7,11228,0,N/A
1.85344E+15,260104/清水絢吾/おい会社員(セミナー)/演出あり/冒頭4/LP2-CR00194,CR00194,LP2,TikTok広告-スキルプラス-LP2-CR00194,2026/1/5,2026/1/7,6841,0,N/A
1.85344E+15,260104/清水絢吾/おい会社員(セミナー)/演出なし/冒頭1/LP2-CR00195,CR00195,LP2,TikTok広告-スキルプラス-LP2-CR00195,2026/1/5,2026/1/7,10048,0,N/A
1.85344E+15,260104/清水絢吾/ドキッとすることをいうやつ(セミナー/BGMあり/LP2-CR00196,CR00196,LP2,TikTok広告-スキルプラス-LP2-CR00196,2026/1/5,2026/1/7,6830,0,N/A
1.85345E+15,260104/清水絢吾/セミナー開催決定/冒頭②/LP2-CR00197,CR00197,LP2,TikTok広告-スキルプラス-LP2-CR00197,2026/1/5,2026/1/7,4158,0,N/A
1.85345E+15,260104/清水絢吾/セミナー開催決定/冒頭③/LP2-CR00198,CR00198,LP2,TikTok広告-スキルプラス-LP2-CR00198,2026/1/5,2026/1/7,6849,0,N/A
1.85355E+15,260106/清水絢吾/開催決定ver2/冒頭2/LP2-CR00199,CR00199,LP2,TikTok広告-スキルプラス-LP2-CR00199,2026/1/7,2026/1/9,4174,0,N/A
1.85361E+15,260107/清水絢吾/セミナー開催決定/冒頭②/LP2-CR00201,CR00201,LP2,TikTok広告-スキルプラス-LP2-CR00201,2026/1/7,2026/1/9,4070,0,N/A
1.85361E+15,260107/清水絢吾/ドキッとすることをいうやつ(セミナー/BGMあり/LP2-CR00202,CR00202,LP2,TikTok広告-スキルプラス-LP2-CR00202,2026/1/7,2026/1/9,4149,0,N/A
1.85361E+15,260107/清水絢吾/ドキッとすることをいうやつ(セミナー/BGMなし/LP2-CR00203,CR00203,LP2,TikTok広告-スキルプラス-LP2-CR00203,2026/1/7,2026/1/9,48000,8,6000
1.85361E+15,260107/清水絢吾/おい会社員(セミナー)/演出なし/冒頭1/LP2-CR00204,CR00204,LP2,TikTok広告-スキルプラス-LP2-CR00204,2026/1/7,2026/1/9,6882,1,6882
1.85361E+15,260107/清水絢吾/おい会社員(セミナー)/演出あり/冒頭4/LP2-CR00205,CR00205,LP2,TikTok広告-スキルプラス-LP2-CR00205,2026/1/7,2026/1/9,4277,0,N/A
