広告ID,広告名,広告タイプ,登録経路,インプレッション,クリック数,費用,CTR(%),CPM,CV数,CVR(%),CPA
1.84683E+15,251020/清水絢吾/おい会社員(セミナー)/演出なし/冒頭5/LP2-CR00016,REGULAR,TikTok広告-スキルプラス-LP2-CR00119,98,2,415,2.04,4234.69,16,800,25.94
1.84683E+15,251020/清水絢吾/おい会社員(セミナー)/演出あり/冒頭5/LP2-CR00015,REGULAR,TikTok広告-スキルプラス-LP2-CR00120,74,0,235,0,3175.68,14,0,16.79
1.84683E+15,251020/清水絢吾/おい会社員(セミナー)/演出あり/冒頭2/LP2-CR00015,REGULAR,TikTok広告-スキルプラス-LP2-CR00121,3010,34,10964,1.13,3642.52,14,41.18,783.14
1.84683E+15,251020/清水絢吾/おい会社員(セミナー)/演出あり/冒頭3/LP2-CR00015,REGULAR,TikTok広告-スキルプラス-LP2-CR00122,89,0,212,0,2382.02,14,0,15.14
1.84683E+15,251020/清水絢吾/おい会社員(セミナー)/演出あり/冒頭4/LP2-CR00015,REGULAR,TikTok広告-スキルプラス-LP2-CR00123,571,4,2418,0.7,4234.68,14,350,172.71
1.84683E+15,251023/清水絢吾/はいそこまで(外)/LP2-CR00017,REGULAR,TikTok広告-スキルプラス-LP2-CR00124,38014,184,38997,0.48,1025.86,24,13.04,1624.88
1.8467E+15,251023/清水絢吾/はいそこまで(外)/LP2-CR00017,REGULAR,TikTok広告-スキルプラス-LP2-CR00125,56,0,336,0,6000,24,0,14
1.84647E+15,251020/清水絢吾/おい会社員(セミナー)/演出なし/冒頭5/LP2-CR00016,REGULAR,TikTok広告-スキルプラス-LP2-CR00126,990,13,3071,1.31,3102.02,16,123.08,191.94
1.84647E+15,251020/清水絢吾/おい会社員(セミナー)/演出なし/冒頭4/LP2-CR00016,REGULAR,TikTok広告-スキルプラス-LP2-CR00127,1713,10,2245,0.58,1310.57,16,160,140.31
1.84647E+15,251020/清水絢吾/おい会社員(セミナー)/演出なし/冒頭3/LP2-CR00016,REGULAR,TikTok広告-スキルプラス-LP2-CR00128,699,3,1678,0.43,2400.57,16,533.33,104.88
1.84647E+15,251020/清水絢吾/おい会社員(セミナー)/演出なし/冒頭2/LP2-CR00016,REGULAR,TikTok広告-スキルプラス-LP2-CR00129,730,5,2417,0.68,3310.96,16,320,151.06
1.84647E+15,251020/清水絢吾/おい会社員(セミナー)/演出なし/冒頭1/LP2-CR00016,REGULAR,TikTok広告-スキルプラス-LP2-CR00130,2400,38,13578,1.58,5657.5,16,42.11,848.63
1.84647E+15,251020/清水絢吾/おい会社員(セミナー)/演出あり/冒頭4/LP2-CR00015,REGULAR,TikTok広告-スキルプラス-LP2-CR00131,933,11,2677,1.18,2869.24,14,127.27,191.21
1.84647E+15,251020/清水絢吾/おい会社員(セミナー)/演出あり/冒頭3/LP2-CR00015,REGULAR,TikTok広告-スキルプラス-LP2-CR00132,819,4,687,0.49,838.83,14,350,49.07
1.84647E+15,251020/清水絢吾/おい会社員(セミナー)/演出あり/冒頭2/LP2-CR00015,REGULAR,TikTok広告-スキルプラス-LP2-CR00133,2209,21,4879,0.95,2208.69,14,66.67,348.5
1.84647E+15,251020/清水絢吾/おい会社員(セミナー)/演出あり/冒頭1/LP2-CR00015,REGULAR,TikTok広告-スキルプラス-LP2-CR00134,2732,32,13715,1.17,5020.13,14,43.75,979.64
1.84647E+15,251020/清水絢吾/おい会社員(セミナー)/演出あり/冒頭5/LP2-CR00015,REGULAR,TikTok広告-スキルプラス-LP2-CR00135,413,4,745,0.97,1803.87,14,350,53.21
1.84639E+15,251019/清水絢吾/ドキッとすることをいうやつ(セミナー/BGMあり/LP2-CR00014,REGULAR,TikTok広告-スキルプラス-LP2-CR00136,12878,59,23152,0.46,1797.79,10,16.95,2315.2
1.84639E+15,251019/清水絢吾/ドキッとすることをいうやつ(セミナー/BGMなし/LP2-CR00014,REGULAR,TikTok広告-スキルプラス-LP2-CR00137,8078,41,19689,0.51,2437.36,10,24.39,1968.9
1.84639E+15,251006/清水絢吾/セミナー開催決定/冒頭①/LP2-CR00008ーダイジェスト/A/LP2-CR00009,REGULAR,TikTok広告-スキルプラス-LP2-CR00138,0,0,0,0,0,22,0,0
1.84639E+15,251006/清水絢吾/セミナー開催決定/冒頭②/LP2-CR00009,REGULAR,TikTok広告-スキルプラス-LP2-CR00139,0,0,0,0,0,21,0,0
1.84639E+15,251006/清水絢吾/セミナー開催決定/冒頭③/LP2-CR00010,REGULAR,TikTok広告-スキルプラス-LP2-CR00140,0,0,0,0,0,2,0,0
1.84596E+15,251014/清水絢吾/怠けた回数(みかみさんなし)/A/LP2-CR00011,REGULAR,TikTok広告-スキルプラス-LP2-CR00141,7326,37,15728,0.51,2146.87,2,5.41,7864
1.84596E+15,251014/清水絢吾/怠けた回数(みかみさんあり)/A/LP2-CR00011,REGULAR,TikTok広告-スキルプラス-LP2-CR00142,4555,18,14507,0.4,3184.85,2,11.11,7253.5
1.84583E+15,251006/清水絢吾/セミナーダイジェスト/A/LP2-CR00007,REGULAR,TikTok広告-スキルプラス-LP2-CR00143,11666,47,27281,0.4,2338.51,11,23.4,2480.09
1.84583E+15,250920/清水絢吾/「学び方」で未来は変わる/LP2-CR00005,REGULAR,TikTok広告-スキルプラス-LP2-CR00144,9480,40,16592,0.42,1750.21,17,42.5,976
1.84583E+15,251006/清水絢吾/セミナー開催決定/冒頭③/LP2-CR00010,REGULAR,TikTok広告-スキルプラス-LP2-CR00145,1131,7,2556,0.62,2259.95,2,28.57,1278
1.84583E+15,251006/清水絢吾/セミナー開催決定/冒頭②/LP2-CR00009,REGULAR,TikTok広告-スキルプラス-LP2-CR00146,36028,156,61136,0.43,1696.9,21,13.46,2911.24
